#SampleID	BioSample_s	Experiment_s	Library_Name_s	MBases_l	MBytes_l	Ph_s	Replicate_s	Run_s	SRA_Sample_s	Salinity_s	Sample_Name_s	Substrate_s	isolation_source_s	misc_param_s	temperature_s	Assay_Type_s	AvgSpotLen_l	BioProject_s	BioSampleModel_s	Consent_s	InsertSize_l	Instrument_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	LoadDate_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s	collection_date_s	geo_loc_name_s	host_s	lat_lon_s
SRR4938493	SAMN05936359	SRX2328419	BB064	39	25	8.62	3	SRR4938493	SRS1783811	33.67	BB064	leaf	leaf	intrazoneLocation:inter	15.9	AMPLICON	500	PRJNA350006	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	11/4/16	plant metagenome	ILLUMINA	11/9/16	SRP092613	2013	USA:California:Bodega Harbor	Zostera marina	38.32 N 123.05 W
SRR4938494	SAMN05936355	SRX2328420	BB060	21	14	8.95	2	SRR4938494	SRS1783812	33.67	BB060	root	root	intrazoneLocation:near	16	AMPLICON	500	PRJNA350006	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	11/4/16	plant metagenome	ILLUMINA	11/9/16	SRP092613	2013	USA:California:Bodega Harbor	Zostera marina	38.32 N 123.05 W
SRR4938495	SAMN05936308	SRX2328421	BB013	20	13	6.9	1	SRR4938495	SRS1783813	33.52	BB013	soil	soil	intrazoneLocation:inside	16.2	AMPLICON	500	PRJNA350006	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	11/4/16	plant metagenome	ILLUMINA	11/9/16	SRP092613	2013	USA:California:Bodega Harbor	Zostera marina	38.32 N 123.05 W
SRR4938496	SAMN05936341	SRX2328422	BB046	51	34	8.83	3	SRR4938496	SRS1783814	33.66	BB046	soil	soil	intrazoneLocation:near	16	AMPLICON	500	PRJNA350006	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	11/4/16	plant metagenome	ILLUMINA	11/9/16	SRP092613	2013	USA:California:Bodega Harbor	Zostera marina	38.32 N 123.05 W
SRR4938497	SAMN05936323	SRX2328423	BB028	122	79	7.4	4	SRR4938497	SRS1783815	33.44	BB028	leaf	leaf	intrazoneLocation:edge	16.2	AMPLICON	500	PRJNA350006	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	11/4/16	plant metagenome	ILLUMINA	11/9/16	SRP092613	2013	USA:California:Bodega Harbor	Zostera marina	38.32 N 123.05 W
SRR4938498	SAMN05936343	SRX2328424	BB048	50	32	8.89	2	SRR4938498	SRS1783816	33.68	BB048	soil	soil	intrazoneLocation:inter	16	AMPLICON	500	PRJNA350006	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	11/4/16	plant metagenome	ILLUMINA	11/9/16	SRP092613	2013	USA:California:Bodega Harbor	Zostera marina	38.32 N 123.05 W
SRR4938499	SAMN05936354	SRX2328425	BB059	12	8	8.74	1	SRR4938499	SRS1783817	33.68	BB059	root	root	intrazoneLocation:near	15.9	AMPLICON	500	PRJNA350006	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	11/4/16	plant metagenome	ILLUMINA	11/9/16	SRP092613	2013	USA:California:Bodega Harbor	Zostera marina	38.32 N 123.05 W
SRR4938500	SAMN05936333	SRX2328426	BB038	13	9	7.76	2	SRR4938500	SRS1783818	33.39	BB038	root	root	intrazoneLocation:inside	16.1	AMPLICON	500	PRJNA350006	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	11/4/16	plant metagenome	ILLUMINA	11/9/16	SRP092613	2013	USA:California:Bodega Harbor	Zostera marina	38.32 N 123.05 W
SRR4938501	SAMN05936327	SRX2328427	BB032	143	92	6.44	4	SRR4938501	SRS1783819	33.53	BB032	leaf	leaf	intrazoneLocation:inside	16.3	AMPLICON	500	PRJNA350006	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	11/4/16	plant metagenome	ILLUMINA	11/9/16	SRP092613	2013	USA:California:Bodega Harbor	Zostera marina	38.32 N 123.05 W
SRR4938502	SAMN05936311	SRX2328428	BB016	41	26	6.44	4	SRR4938502	SRS1783820	33.53	BB016	soil	soil	intrazoneLocation:inside	16.3	AMPLICON	500	PRJNA350006	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	11/4/16	plant metagenome	ILLUMINA	11/9/16	SRP092613	2013	USA:California:Bodega Harbor	Zostera marina	38.32 N 123.05 W
SRR4938503	SAMN05936335	SRX2328429	BB040	20	13	6.44	4	SRR4938503	SRS1783821	33.53	BB040	root	root	intrazoneLocation:inside	16.3	AMPLICON	500	PRJNA350006	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	11/4/16	plant metagenome	ILLUMINA	11/9/16	SRP092613	2013	USA:California:Bodega Harbor	Zostera marina	38.32 N 123.05 W
SRR4938504	SAMN05936365	SRX2328430	BB070	105	70	8.53	3	SRR4938504	SRS1783822	33.66	BB070	water	water	intrazoneLocation:far	15.9	AMPLICON	500	PRJNA350006	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	11/4/16	plant metagenome	ILLUMINA	11/9/16	SRP092613	2013	USA:California:Bodega Harbor	Zostera marina	38.32 N 123.05 W
SRR4938505	SAMN05936369	SRX2328431	BBNC	0	0	NA	NA	SRR4938505	SRS1783823	NA	BBNC	NA	NA	intrazoneLocation:NA	NA	AMPLICON	500	PRJNA350006	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	11/4/16	plant metagenome	ILLUMINA	11/9/16	SRP092613	2013	USA:California:Bodega Harbor	Zostera marina	38.32 N 123.05 W
SRR4938506	SAMN05936318	SRX2328432	BB023	17	11	6.84	3	SRR4938506	SRS1783824	33.5	BB023	soil	soil	intrazoneLocation:outside	16.2	AMPLICON	500	PRJNA350006	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	11/4/16	plant metagenome	ILLUMINA	11/9/16	SRP092613	2013	USA:California:Bodega Harbor	Zostera marina	38.32 N 123.05 W
SRR4938507	SAMN05936351	SRX2328433	BB056	69	46	8.74	1	SRR4938507	SRS1783825	33.68	BB056	leaf	leaf	intrazoneLocation:near	15.9	AMPLICON	500	PRJNA350006	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	11/4/16	plant metagenome	ILLUMINA	11/9/16	SRP092613	2013	USA:California:Bodega Harbor	Zostera marina	38.32 N 123.05 W
SRR4938508	SAMN05936364	SRX2328434	BB069	116	76	8.62	2	SRR4938508	SRS1783826	33.67	BB069	water	water	intrazoneLocation:far	15.9	AMPLICON	500	PRJNA350006	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	11/4/16	plant metagenome	ILLUMINA	11/9/16	SRP092613	2013	USA:California:Bodega Harbor	Zostera marina	38.32 N 123.05 W
SRR4938509	SAMN05936357	SRX2328435	BB062	55	36	9.07	1	SRR4938509	SRS1783827	33.68	BB062	leaf	leaf	intrazoneLocation:inter	16	AMPLICON	500	PRJNA350006	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	11/4/16	plant metagenome	ILLUMINA	11/9/16	SRP092613	2013	USA:California:Bodega Harbor	Zostera marina	38.32 N 123.05 W
SRR4938510	SAMN05936306	SRX2328436	BB011	29	19	7.09	3	SRR4938510	SRS1783828	31.5	BB011	soil	soil	intrazoneLocation:inside	16	AMPLICON	500	PRJNA350006	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	11/4/16	plant metagenome	ILLUMINA	11/9/16	SRP092613	2013	USA:California:Bodega Harbor	Zostera marina	38.32 N 123.05 W
SRR4938511	SAMN05936325	SRX2328437	BB030	99	65	7.76	2	SRR4938511	SRS1783829	33.39	BB030	leaf	leaf	intrazoneLocation:inside	16.1	AMPLICON	500	PRJNA350006	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	11/4/16	plant metagenome	ILLUMINA	11/9/16	SRP092613	2013	USA:California:Bodega Harbor	Zostera marina	38.32 N 123.05 W
SRR4938512	SAMN05936324	SRX2328438	BB029	178	115	6.9	1	SRR4938512	SRS1783830	33.52	BB029	leaf	leaf	intrazoneLocation:inside	16.2	AMPLICON	500	PRJNA350006	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	11/4/16	plant metagenome	ILLUMINA	11/9/16	SRP092613	2013	USA:California:Bodega Harbor	Zostera marina	38.32 N 123.05 W
SRR4938480	SAMN05936360	SRX2328406	BB065	41	26	9.07	1	SRR4938480	SRS1783798	33.68	BB065	root	root	intrazoneLocation:inter	16	AMPLICON	500	PRJNA350006	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	11/4/16	plant metagenome	ILLUMINA	11/9/16	SRP092613	2013	USA:California:Bodega Harbor	Zostera marina	38.32 N 123.05 W
SRR4938481	SAMN05936309	SRX2328407	BB014	26	17	7.76	2	SRR4938481	SRS1783799	33.39	BB014	soil	soil	intrazoneLocation:inside	16.1	AMPLICON	500	PRJNA350006	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	11/4/16	plant metagenome	ILLUMINA	11/9/16	SRP092613	2013	USA:California:Bodega Harbor	Zostera marina	38.32 N 123.05 W
SRR4938482	SAMN05936342	SRX2328408	BB047	38	24	9.07	1	SRR4938482	SRS1783800	33.68	BB047	soil	soil	intrazoneLocation:inter	16	AMPLICON	500	PRJNA350006	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	11/4/16	plant metagenome	ILLUMINA	11/9/16	SRP092613	2013	USA:California:Bodega Harbor	Zostera marina	38.32 N 123.05 W
SRR4938513	SAMN05936326	SRX2328439	BB031	67	44	7.09	3	SRR4938513	SRS1783831	31.5	BB031	leaf	leaf	intrazoneLocation:inside	16	AMPLICON	500	PRJNA350006	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	11/4/16	plant metagenome	ILLUMINA	11/9/16	SRP092613	2013	USA:California:Bodega Harbor	Zostera marina	38.32 N 123.05 W
SRR4938514	SAMN05936299	SRX2328440	BB004	32	21	7.4	4	SRR4938514	SRS1783832	33.44	BB004	soil	soil	intrazoneLocation:edge	16.2	AMPLICON	500	PRJNA350006	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	11/4/16	plant metagenome	ILLUMINA	11/9/16	SRP092613	2013	USA:California:Bodega Harbor	Zostera marina	38.32 N 123.05 W
SRR4938515	SAMN05936361	SRX2328441	BB066	44	29	8.89	2	SRR4938515	SRS1783833	33.68	BB066	root	root	intrazoneLocation:inter	16	AMPLICON	500	PRJNA350006	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	11/4/16	plant metagenome	ILLUMINA	11/9/16	SRP092613	2013	USA:California:Bodega Harbor	Zostera marina	38.32 N 123.05 W
SRR4938516	SAMN05936337	SRX2328442	BB042	31	20	8.62	2	SRR4938516	SRS1783834	33.67	BB042	soil	soil	intrazoneLocation:far	15.9	AMPLICON	500	PRJNA350006	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	11/4/16	plant metagenome	ILLUMINA	11/9/16	SRP092613	2013	USA:California:Bodega Harbor	Zostera marina	38.32 N 123.05 W
SRR4938517	SAMN05936366	SRX2328443	BB071	66	43	8.74	1	SRR4938517	SRS1783835	33.68	BB071	water	water	intrazoneLocation:near	15.9	AMPLICON	500	PRJNA350006	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	11/4/16	plant metagenome	ILLUMINA	11/9/16	SRP092613	2013	USA:California:Bodega Harbor	Zostera marina	38.32 N 123.05 W
SRR4938518	SAMN05936296	SRX2328444	BB001	30	19	8.83	1	SRR4938518	SRS1783836	33.54	BB001	soil	soil	intrazoneLocation:edge	16.2	AMPLICON	500	PRJNA350006	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	11/4/16	plant metagenome	ILLUMINA	11/9/16	SRP092613	2013	USA:California:Bodega Harbor	Zostera marina	38.32 N 123.05 W
SRR4938519	SAMN05936336	SRX2328445	BB041	78	51	8.41	1	SRR4938519	SRS1783837	33.66	BB041	soil	soil	intrazoneLocation:far	15.9	AMPLICON	500	PRJNA350006	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	11/4/16	plant metagenome	ILLUMINA	11/9/16	SRP092613	2013	USA:California:Bodega Harbor	Zostera marina	38.32 N 123.05 W
SRR4938520	SAMN05936320	SRX2328446	BB025	197	129	8.83	1	SRR4938520	SRS1783838	33.54	BB025	leaf	leaf	intrazoneLocation:edge	16.2	AMPLICON	500	PRJNA350006	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	11/4/16	plant metagenome	ILLUMINA	11/9/16	SRP092613	2013	USA:California:Bodega Harbor	Zostera marina	38.32 N 123.05 W
SRR4938521	SAMN05936298	SRX2328447	BB003	48	31	7.84	3	SRR4938521	SRS1783839	33.52	BB003	soil	soil	intrazoneLocation:edge	16.2	AMPLICON	500	PRJNA350006	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	11/4/16	plant metagenome	ILLUMINA	11/9/16	SRP092613	2013	USA:California:Bodega Harbor	Zostera marina	38.32 N 123.05 W
SRR4938522	SAMN05936314	SRX2328448	BB019	52	34	6.84	3	SRR4938522	SRS1783840	33.5	BB019	soil	soil	intrazoneLocation:outside	16.2	AMPLICON	500	PRJNA350006	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	11/4/16	plant metagenome	ILLUMINA	11/9/16	SRP092613	2013	USA:California:Bodega Harbor	Zostera marina	38.32 N 123.05 W
SRR4938523	SAMN05936363	SRX2328449	BB068	71	46	8.41	1	SRR4938523	SRS1783841	33.66	BB068	water	water	intrazoneLocation:far	15.9	AMPLICON	500	PRJNA350006	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	11/4/16	plant metagenome	ILLUMINA	11/9/16	SRP092613	2013	USA:California:Bodega Harbor	Zostera marina	38.32 N 123.05 W
SRR4938524	SAMN05936315	SRX2328450	BB020	27	18	6.91	4	SRR4938524	SRS1783842	33.34	BB020	soil	soil	intrazoneLocation:outside	16.1	AMPLICON	500	PRJNA350006	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	11/4/16	plant metagenome	ILLUMINA	11/9/16	SRP092613	2013	USA:California:Bodega Harbor	Zostera marina	38.32 N 123.05 W
SRR4938525	SAMN05936304	SRX2328451	BB009	50	32	6.9	1	SRR4938525	SRS1783843	33.52	BB009	soil	soil	intrazoneLocation:inside	16.2	AMPLICON	500	PRJNA350006	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	11/4/16	plant metagenome	ILLUMINA	11/9/16	SRP092613	2013	USA:California:Bodega Harbor	Zostera marina	38.32 N 123.05 W
SRR4938526	SAMN05936303	SRX2328452	BB008	78	50	7.4	4	SRR4938526	SRS1783844	33.44	BB008	soil	soil	intrazoneLocation:edge	16.2	AMPLICON	500	PRJNA350006	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	11/4/16	plant metagenome	ILLUMINA	11/9/16	SRP092613	2013	USA:California:Bodega Harbor	Zostera marina	38.32 N 123.05 W
SRR4938527	SAMN05936367	SRX2328453	BB072	110	73	8.95	2	SRR4938527	SRS1783845	33.67	BB072	water	water	intrazoneLocation:near	16	AMPLICON	500	PRJNA350006	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	11/4/16	plant metagenome	ILLUMINA	11/9/16	SRP092613	2013	USA:California:Bodega Harbor	Zostera marina	38.32 N 123.05 W
SRR4938528	SAMN05936305	SRX2328454	BB010	20	13	7.76	2	SRR4938528	SRS1783846	33.39	BB010	soil	soil	intrazoneLocation:inside	16.1	AMPLICON	500	PRJNA350006	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	11/4/16	plant metagenome	ILLUMINA	11/9/16	SRP092613	2013	USA:California:Bodega Harbor	Zostera marina	38.32 N 123.05 W
SRR4938529	SAMN05936312	SRX2328455	BB017	41	27	7	1	SRR4938529	SRS1783847	33.56	BB017	soil	soil	intrazoneLocation:outside	16.1	AMPLICON	500	PRJNA350006	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	11/4/16	plant metagenome	ILLUMINA	11/9/16	SRP092613	2013	USA:California:Bodega Harbor	Zostera marina	38.32 N 123.05 W
SRR4938530	SAMN05936356	SRX2328456	BB061	19	12	8.83	3	SRR4938530	SRS1783848	33.66	BB061	root	root	intrazoneLocation:near	16	AMPLICON	500	PRJNA350006	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	11/4/16	plant metagenome	ILLUMINA	11/9/16	SRP092613	2013	USA:California:Bodega Harbor	Zostera marina	38.32 N 123.05 W
SRR4938531	SAMN05936334	SRX2328457	BB039	12	8	7.09	3	SRR4938531	SRS1783849	31.5	BB039	root	root	intrazoneLocation:inside	16	AMPLICON	500	PRJNA350006	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	11/4/16	plant metagenome	ILLUMINA	11/9/16	SRP092613	2013	USA:California:Bodega Harbor	Zostera marina	38.32 N 123.05 W
SRR4938532	SAMN05936353	SRX2328458	BB058	31	20	8.83	3	SRR4938532	SRS1783850	33.66	BB058	leaf	leaf	intrazoneLocation:near	16	AMPLICON	500	PRJNA350006	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	11/4/16	plant metagenome	ILLUMINA	11/9/16	SRP092613	2013	USA:California:Bodega Harbor	Zostera marina	38.32 N 123.05 W
SRR4938533	SAMN05936319	SRX2328459	BB024	71	47	6.91	4	SRR4938533	SRS1783851	33.34	BB024	soil	soil	intrazoneLocation:outside	16.1	AMPLICON	500	PRJNA350006	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	11/4/16	plant metagenome	ILLUMINA	11/9/16	SRP092613	2013	USA:California:Bodega Harbor	Zostera marina	38.32 N 123.05 W
SRR4938534	SAMN05936310	SRX2328460	BB015	21	13	7.09	3	SRR4938534	SRS1783852	31.5	BB015	soil	soil	intrazoneLocation:inside	16	AMPLICON	500	PRJNA350006	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	11/4/16	plant metagenome	ILLUMINA	11/9/16	SRP092613	2013	USA:California:Bodega Harbor	Zostera marina	38.32 N 123.05 W
SRR4938535	SAMN05936340	SRX2328461	BB045	25	16	8.95	2	SRR4938535	SRS1783853	33.67	BB045	soil	soil	intrazoneLocation:near	16	AMPLICON	500	PRJNA350006	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	11/4/16	plant metagenome	ILLUMINA	11/9/16	SRP092613	2013	USA:California:Bodega Harbor	Zostera marina	38.32 N 123.05 W
SRR4938536	SAMN05936313	SRX2328462	BB018	65	42	7.85	2	SRR4938536	SRS1783854	33.5	BB018	soil	soil	intrazoneLocation:outside	16.1	AMPLICON	500	PRJNA350006	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	11/4/16	plant metagenome	ILLUMINA	11/9/16	SRP092613	2013	USA:California:Bodega Harbor	Zostera marina	38.32 N 123.05 W
SRR4938537	SAMN05936332	SRX2328463	BB037	49	32	6.9	1	SRR4938537	SRS1783855	33.52	BB037	root	root	intrazoneLocation:inside	16.2	AMPLICON	500	PRJNA350006	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	11/4/16	plant metagenome	ILLUMINA	11/9/16	SRP092613	2013	USA:California:Bodega Harbor	Zostera marina	38.32 N 123.05 W
SRR4938538	SAMN05936345	SRX2328464	BB050	70	45	8.41	1	SRR4938538	SRS1783856	33.66	BB050	leaf	leaf	intrazoneLocation:far	15.9	AMPLICON	500	PRJNA350006	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	11/4/16	plant metagenome	ILLUMINA	11/9/16	SRP092613	2013	USA:California:Bodega Harbor	Zostera marina	38.32 N 123.05 W
SRR4938539	SAMN05936302	SRX2328465	BB007	38	24	7.84	3	SRR4938539	SRS1783857	33.52	BB007	soil	soil	intrazoneLocation:edge	16.2	AMPLICON	500	PRJNA350006	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	11/4/16	plant metagenome	ILLUMINA	11/9/16	SRP092613	2013	USA:California:Bodega Harbor	Zostera marina	38.32 N 123.05 W
SRR4938540	SAMN05936316	SRX2328466	BB021	37	24	7	1	SRR4938540	SRS1783858	33.56	BB021	soil	soil	intrazoneLocation:outside	16.1	AMPLICON	500	PRJNA350006	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	11/4/16	plant metagenome	ILLUMINA	11/9/16	SRP092613	2013	USA:California:Bodega Harbor	Zostera marina	38.32 N 123.05 W
SRR4938541	SAMN05936297	SRX2328467	BB002	72	47	8.68	2	SRR4938541	SRS1783859	33.1	BB002	soil	soil	intrazoneLocation:edge	16.1	AMPLICON	500	PRJNA350006	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	11/4/16	plant metagenome	ILLUMINA	11/9/16	SRP092613	2013	USA:California:Bodega Harbor	Zostera marina	38.32 N 123.05 W
SRR4938542	SAMN05936328	SRX2328468	BB033	33	21	8.83	1	SRR4938542	SRS1783860	33.54	BB033	root	root	intrazoneLocation:edge	16.2	AMPLICON	500	PRJNA350006	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	11/4/16	plant metagenome	ILLUMINA	11/9/16	SRP092613	2013	USA:California:Bodega Harbor	Zostera marina	38.32 N 123.05 W
SRR4938543	SAMN05936350	SRX2328469	BB055	15	10	8.53	3	SRR4938543	SRS1783861	33.66	BB055	root	root	intrazoneLocation:far	15.9	AMPLICON	500	PRJNA350006	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	11/4/16	plant metagenome	ILLUMINA	11/9/16	SRP092613	2013	USA:California:Bodega Harbor	Zostera marina	38.32 N 123.05 W
