#SampleID	BioSample	Experiment	Library_Name	MBases	MBytes	Run	SRA_Sample	Sample_Name	anonymized_name	batch_areal_prod	batch_avg_vol_prod	batch_daughter_culture_id	batch_end_date	batch_g_l_finish	batch_g_l_start	batch_id	batch_media_n_source	batch_media_salt_g_l	batch_parent_culture_id	batch_start_date	batch_total_fames_dry	collection_date	collection_timestamp	day	day_of_year	description_duplicate	elite_cells_counted	elite_cells_per_ml	g_dna_plate	g_dna_well	growth_cycle_day	host_subject_id	month	no3_per_l_start_mm	nonchlorophyll_cell_count	od_750_g_ld_panel_growth_rate	od_750_panel_growth_rate	overall_day	panel	par_mol_m2_day	percent_elite	percent_nonchlorophyll	percent_weed	po4_start_mm	sample_drymass	sample_od_750	sample_type	sampling_point_in_growth_cycle	season	system	system_vol_liters	tot_nonchlorophyll_events_ml	total_cells_per_ml	total_growth_cycle_days	total_weed_cells_per_ml	weed_cells_counted	year	Assay_Type	AvgSpotLen	BioProject	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	ENA_FIRST_PUBLIC	ENA_LAST_UPDATE	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	Organism	Platform	ReleaseDate	SRA_Study	altitude	assigned_from_geo	common_name	depth	dna_extracted	elevation	env_biome	env_feature	env_matter	extracted_dna_avail_now	geographic_location_country_and_or_sea	host_common_name	host_taxid	latitude	longitude	physical_samp_avail_now	physical_specimen_location	physical_specimen_remaining	public	required_sample_info_status	title
ERR874057	SAMEA3375915	ERX953660	1902.11	4	1	ERR874057	ERS717677	qiime_ppdid_189:1902.11	11	6.68	0.11	921	8/1/11	3.47	1.05	900	NaNO3	20	895	7/12/11	39.9	7/26/11	7/26/11 0:00	26	207	Bioreactor sample taken from panel A1 in system AGS	2.39E+04	4.27E+08	1	A1	14	11	7	3	1053	0.11	0.32	4	A1	42	96	4.21	0.2	1.104	3.06	8.8	bioreactor content	0.7	summer	AGS	200	1.88E+07	4.47E+08	20	8.23E+05	46	2011	OTHER	151	PRJEB9328	"COLORADO CENTER FOR MICROBIAL ECOLOGY, UNIVERSITY "	public	sra	ncbi	6/23/17	3/9/18	0	unspecified	SINGLE	unspecified	METAGENOMIC	6/25/17	bioreactor metagenome	ILLUMINA	6/24/17	ERP010414	0	y	bioreactor metagenome	0	TRUE	1516.214	ENVO:bioreactor	ENVO:bioreactor	ENVO:fresh water	y	GAZ:United States of America	bioreactor sample	1076179	40.594	-105.075	TRUE	UCSDMI	TRUE	y	completed	Fulbright_biofuels
ERR874058	SAMEA3375916	ERX953661	1902.11	4	2	ERR874058	ERS717678	qiime_ppdid_189:1902.110	110	2.16	0.03	975	11/14/11	2.31	1.17	966	NaNO3	20	957	10/20/11	34.9	10/28/11	10/28/11 0:00	28	301	Bioreactor sample taken from panel A9 in system AGS	2.39E+04	3.46E+08	1	F6	8	110	10	3	1080	0.05	0.13	109	B4	18	96	4.32	0.1	1.104	1.94	5.5	bioreactor content	0.3	fall	AGS	200	1.56E+07	3.62E+08	25	4.49E+05	31	2011	OTHER	151	PRJEB9328	"COLORADO CENTER FOR MICROBIAL ECOLOGY, UNIVERSITY "	public	sra	ncbi	6/23/17	3/9/18	0	unspecified	SINGLE	unspecified	METAGENOMIC	6/25/17	bioreactor metagenome	ILLUMINA	6/24/17	ERP010414	0	y	bioreactor metagenome	0	TRUE	1516.214	ENVO:bioreactor	ENVO:bioreactor	ENVO:fresh water	y	GAZ:United States of America	bioreactor sample	1076179	40.594	-105.075	TRUE	UCSDMI	TRUE	y	completed	Fulbright_biofuels
ERR874059	SAMEA3375917	ERX953662	1902.111	3	1	ERR874059	ERS717679	qiime_ppdid_189:1902.111	111	2.16	0.03	975	11/14/11	2.31	1.17	966	NaNO3	20	957	10/20/11	34.9	10/28/11	10/28/11 0:00	28	301	Bioreactor sample taken from panel A10 in system AGS	2.40E+04	3.11E+08	1	F7	8	111	10	3	945	0.05	0.14	109	B5	18	96	3.78	0.1	1.104	1.75	5	bioreactor content	0.3	fall	AGS	200	1.22E+07	3.23E+08	25	1.55E+05	12	2011	OTHER	151	PRJEB9328	"COLORADO CENTER FOR MICROBIAL ECOLOGY, UNIVERSITY "	public	sra	ncbi	6/23/17	3/9/18	0	unspecified	SINGLE	unspecified	METAGENOMIC	6/25/17	bioreactor metagenome	ILLUMINA	6/24/17	ERP010414	0	y	bioreactor metagenome	0	TRUE	1516.214	ENVO:bioreactor	ENVO:bioreactor	ENVO:fresh water	y	GAZ:United States of America	bioreactor sample	1076179	40.594	-105.075	TRUE	UCSDMI	TRUE	y	completed	Fulbright_biofuels
ERR874060	SAMEA3375918	ERX953663	1902.112	4	2	ERR874060	ERS717680	qiime_ppdid_189:1902.112	112	2.16	0.03	975	11/14/11	2.31	1.17	966	NaNO3	20	957	10/20/11	34.9	10/28/11	10/28/11 0:00	28	301	Bioreactor sample taken from panel B4 in system AGS	2.41E+04	3.53E+08	1	F8	8	112	10	3	867	0.05	0.13	109	B6	18	96	3.47	0.1	1.104	1.93	5.5	bioreactor content	0.3	fall	AGS	200	1.27E+07	3.66E+08	25	2.63E+05	18	2011	OTHER	151	PRJEB9328	"COLORADO CENTER FOR MICROBIAL ECOLOGY, UNIVERSITY "	public	sra	ncbi	6/23/17	3/9/18	0	unspecified	SINGLE	unspecified	METAGENOMIC	6/25/17	bioreactor metagenome	ILLUMINA	6/24/17	ERP010414	0	y	bioreactor metagenome	0	TRUE	1516.214	ENVO:bioreactor	ENVO:bioreactor	ENVO:fresh water	y	GAZ:United States of America	bioreactor sample	1076179	40.594	-105.075	TRUE	UCSDMI	TRUE	y	completed	Fulbright_biofuels
ERR874061	SAMEA3375919	ERX953664	1902.113	3	1	ERR874061	ERS717681	qiime_ppdid_189:1902.113	113	2.16	0.03	975	11/14/11	2.31	1.17	966	NaNO3	20	957	10/20/11	34.9	10/28/11	10/28/11 0:00	28	301	Bioreactor sample taken from panel B5 in system AGS	2.41E+04	3.07E+08	1	F9	8	113	10	3	913	0.05	0.14	109	B7	18	96	3.65	0	1.104	1.78	5.1	bioreactor content	0.3	fall	AGS	200	1.16E+07	3.18E+08	25	5.09E+04	4	2011	OTHER	151	PRJEB9328	"COLORADO CENTER FOR MICROBIAL ECOLOGY, UNIVERSITY "	public	sra	ncbi	6/23/17	3/9/18	0	unspecified	SINGLE	unspecified	METAGENOMIC	6/25/17	bioreactor metagenome	ILLUMINA	6/24/17	ERP010414	0	y	bioreactor metagenome	0	TRUE	1516.214	ENVO:bioreactor	ENVO:bioreactor	ENVO:fresh water	y	GAZ:United States of America	bioreactor sample	1076179	40.594	-105.075	TRUE	UCSDMI	TRUE	y	completed	Fulbright_biofuels
ERR874062	SAMEA3375920	ERX953665	1902.114	3	1	ERR874062	ERS717682	qiime_ppdid_189:1902.114	114	2.16	0.03	975	11/14/11	2.31	1.17	966	NaNO3	20	957	10/20/11	34.9	10/28/11	10/28/11 0:00	28	301	Bioreactor sample taken from panel B6 in system AGS	2.40E+04	2.82E+08	1	F10	8	114	10	3	1034	0.04	0.12	109	B8	18	96	4.14	0	1.104	1.58	4.5	bioreactor content	0.3	fall	AGS	200	1.22E+07	2.94E+08	25	1.18E+04	1	2011	OTHER	151	PRJEB9328	"COLORADO CENTER FOR MICROBIAL ECOLOGY, UNIVERSITY "	public	sra	ncbi	6/23/17	3/9/18	0	unspecified	SINGLE	unspecified	METAGENOMIC	6/25/17	bioreactor metagenome	ILLUMINA	6/24/17	ERP010414	0	y	bioreactor metagenome	0	TRUE	1516.214	ENVO:bioreactor	ENVO:bioreactor	ENVO:fresh water	y	GAZ:United States of America	bioreactor sample	1076179	40.594	-105.075	TRUE	UCSDMI	TRUE	y	completed	Fulbright_biofuels
ERR874063	SAMEA3375921	ERX953666	1902.115	3	1	ERR874063	ERS717683	qiime_ppdid_189:1902.115	115	2.16	0.03	975	11/14/11	2.31	1.17	966	NaNO3	20	957	10/20/11	34.9	10/28/11	10/28/11 0:00	28	301	Bioreactor sample taken from panel B7 in system AGS	2.43E+04	3.47E+08	1	F11	8	115	10	3	693	0.07	0.2	109	B9	18	97	2.77	0	1.104	2.12	6	bioreactor content	0.3	fall	AGS	200	9.89E+06	3.57E+08	25	1.43E+05	10	2011	OTHER	151	PRJEB9328	"COLORADO CENTER FOR MICROBIAL ECOLOGY, UNIVERSITY "	public	sra	ncbi	6/23/17	3/9/18	0	unspecified	SINGLE	unspecified	METAGENOMIC	6/25/17	bioreactor metagenome	ILLUMINA	6/24/17	ERP010414	0	y	bioreactor metagenome	0	TRUE	1516.214	ENVO:bioreactor	ENVO:bioreactor	ENVO:fresh water	y	GAZ:United States of America	bioreactor sample	1076179	40.594	-105.075	TRUE	UCSDMI	TRUE	y	completed	Fulbright_biofuels
ERR874064	SAMEA3375922	ERX953667	1902.116	4	1	ERR874064	ERS717684	qiime_ppdid_189:1902.116	116	2.16	0.03	975	11/14/11	2.31	1.17	966	NaNO3	20	957	10/20/11	34.9	10/28/11	10/28/11 0:00	28	301	Bioreactor sample taken from panel B8 in system AGS	2.41E+04	3.19E+08	1	F12	8	116	10	3	888	0.06	0.16	109	B10	18	96	3.55	0	1.104	1.79	5.1	bioreactor content	0.3	fall	AGS	200	1.17E+07	3.30E+08	25	6.61E+04	5	2011	OTHER	151	PRJEB9328	"COLORADO CENTER FOR MICROBIAL ECOLOGY, UNIVERSITY "	public	sra	ncbi	6/23/17	3/9/18	0	unspecified	SINGLE	unspecified	METAGENOMIC	6/25/17	bioreactor metagenome	ILLUMINA	6/24/17	ERP010414	0	y	bioreactor metagenome	0	TRUE	1516.214	ENVO:bioreactor	ENVO:bioreactor	ENVO:fresh water	y	GAZ:United States of America	bioreactor sample	1076179	40.594	-105.075	TRUE	UCSDMI	TRUE	y	completed	Fulbright_biofuels
ERR874065	SAMEA3375923	ERX953668	1902.117	3	1	ERR874065	ERS717685	qiime_ppdid_189:1902.117	117	2.62	0.04	985	12/14/11	2.38	0.78	975	NaNO3	20	966	11/14/11	36.5	12/9/11	12/9/11 0:00	9	343	Bioreactor sample taken from panel B9 in system AGS	1.93E+04	2.01E+08	1	G1	25	117	12	3	5656	0.02	0.05	139	B4	14	77	22.62	0	1.104	1.65	4.7	bioreactor content	0.8	fall	AGS	200	5.87E+07	2.59E+08	30	0.00E+00	0	2011	OTHER	151	PRJEB9328	"COLORADO CENTER FOR MICROBIAL ECOLOGY, UNIVERSITY "	public	sra	ncbi	6/23/17	3/9/18	0	unspecified	SINGLE	unspecified	METAGENOMIC	6/25/17	bioreactor metagenome	ILLUMINA	6/24/17	ERP010414	0	y	bioreactor metagenome	0	TRUE	1516.214	ENVO:bioreactor	ENVO:bioreactor	ENVO:fresh water	y	GAZ:United States of America	bioreactor sample	1076179	40.594	-105.075	TRUE	UCSDMI	TRUE	y	completed	Fulbright_biofuels
ERR874066	SAMEA3375924	ERX953669	1902.118	3	1	ERR874066	ERS717686	qiime_ppdid_189:1902.118	118	2.62	0.04	985	12/14/11	2.38	0.78	975	NaNO3	20	966	11/14/11	36.5	12/9/11	12/9/11 0:00	9	343	Bioreactor sample taken from panel B10 in system AGS	2.04E+04	1.86E+08	1	G2	25	118	12	3	4614	0.01	0.03	139	B5	14	82	18.46	0	1.104	1.56	4.5	bioreactor content	0.8	fall	AGS	200	4.21E+07	2.28E+08	30	0.00E+00	0	2011	OTHER	151	PRJEB9328	"COLORADO CENTER FOR MICROBIAL ECOLOGY, UNIVERSITY "	public	sra	ncbi	6/23/17	3/9/18	0	unspecified	SINGLE	unspecified	METAGENOMIC	6/25/17	bioreactor metagenome	ILLUMINA	6/24/17	ERP010414	0	y	bioreactor metagenome	0	TRUE	1516.214	ENVO:bioreactor	ENVO:bioreactor	ENVO:fresh water	y	GAZ:United States of America	bioreactor sample	1076179	40.594	-105.075	TRUE	UCSDMI	TRUE	y	completed	Fulbright_biofuels
ERR874067	SAMEA3375925	ERX953670	1902.119	3	1	ERR874067	ERS717687	qiime_ppdid_189:1902.119	119	2.62	0.04	985	12/14/11	2.38	0.78	975	NaNO3	20	966	11/14/11	36.5	12/9/11	12/9/11 0:00	9	343	Bioreactor sample taken from panel B4 in system AGS	1.76E+04	2.09E+08	1	G3	25	119	12	3	7399	0.02	0.04	139	B6	14	70	29.6	0	1.104	1.68	4.8	bioreactor content	0.8	fall	AGS	200	8.78E+07	2.97E+08	30	0.00E+00	0	2011	OTHER	151	PRJEB9328	"COLORADO CENTER FOR MICROBIAL ECOLOGY, UNIVERSITY "	public	sra	ncbi	6/23/17	3/9/18	0	unspecified	SINGLE	unspecified	METAGENOMIC	6/25/17	bioreactor metagenome	ILLUMINA	6/24/17	ERP010414	0	y	bioreactor metagenome	0	TRUE	1516.214	ENVO:bioreactor	ENVO:bioreactor	ENVO:fresh water	y	GAZ:United States of America	bioreactor sample	1076179	40.594	-105.075	TRUE	UCSDMI	TRUE	y	completed	Fulbright_biofuels
ERR874068	SAMEA3375926	ERX953671	1902.12	5	2	ERR874068	ERS717688	qiime_ppdid_189:1902.12	12	6.68	0.11	921	8/1/11	3.47	1.05	900	NaNO3	20	895	7/12/11	39.9	7/26/11	7/26/11 0:00	26	207	Bioreactor sample taken from panel A2 in system AGS	2.41E+04	4.74E+08	1	A2	14	12	7	3	846	0.15	0.43	4	A2	42	96	3.38	0.2	1.104	3.45	9.9	bioreactor content	0.7	summer	AGS	200	1.66E+07	4.92E+08	20	8.07E+05	41	2011	OTHER	151	PRJEB9328	"COLORADO CENTER FOR MICROBIAL ECOLOGY, UNIVERSITY "	public	sra	ncbi	6/23/17	3/9/18	0	unspecified	SINGLE	unspecified	METAGENOMIC	6/25/17	bioreactor metagenome	ILLUMINA	6/24/17	ERP010414	0	y	bioreactor metagenome	0	TRUE	1516.214	ENVO:bioreactor	ENVO:bioreactor	ENVO:fresh water	y	GAZ:United States of America	bioreactor sample	1076179	40.594	-105.075	TRUE	UCSDMI	TRUE	y	completed	Fulbright_biofuels
ERR874069	SAMEA3375927	ERX953672	1902.12	4	2	ERR874069	ERS717689	qiime_ppdid_189:1902.120	120	2.62	0.04	985	12/14/11	2.38	0.78	975	NaNO3	20	966	11/14/11	36.5	12/9/11	12/9/11 0:00	9	343	Bioreactor sample taken from panel B5 in system AGS	2.01E+04	2.43E+08	1	G4	25	120	12	3	4851	0.02	0.06	139	B7	14	81	19.4	0	1.104	1.89	5.4	bioreactor content	0.8	fall	AGS	200	5.86E+07	3.02E+08	30	0.00E+00	0	2011	OTHER	151	PRJEB9328	"COLORADO CENTER FOR MICROBIAL ECOLOGY, UNIVERSITY "	public	sra	ncbi	6/23/17	3/9/18	0	unspecified	SINGLE	unspecified	METAGENOMIC	6/25/17	bioreactor metagenome	ILLUMINA	6/24/17	ERP010414	0	y	bioreactor metagenome	0	TRUE	1516.214	ENVO:bioreactor	ENVO:bioreactor	ENVO:fresh water	y	GAZ:United States of America	bioreactor sample	1076179	40.594	-105.075	TRUE	UCSDMI	TRUE	y	completed	Fulbright_biofuels
