#SampleID	AvgSpotLen_l	BioSample_s	Experiment_s	Library_Name_s	region	LoadDate_s	MBases_l	MBytes_l	ReleaseDate_s	Run_s	SRA_Sample_s	Sample_Name_s	collection_date_s	isolation_source_s	lat_lon_s	misc_param_s	Assay_Type_s	BioProject_s	BioSampleModel_s	Consent_s	InsertSize_l	Instrument_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Organism_s	Platform_s	SRA_Study_s	geo_loc_name_s	host_s
SRR5380251	250	SAMN06566800	SRX2675479	SWR2.20	SW	3/27/17	0	0	3/27/17	SRR5380251	SRS2073822	SWR2.20	8/7/14	Roots	58.2488 N 11.4536 E	ZenSite:SW	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380252	250	SAMN06566798	SRX2675480	SWR2.1	SW	3/27/17	0	0	3/27/17	SRR5380252	SRS2073823	SWR2.1	8/7/14	Roots	58.2488 N 11.4536 E	ZenSite:SW	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380253	250	SAMN06566787	SRX2675481	SWR1.6	SW	3/27/17	0	0	3/27/17	SRR5380253	SRS2073824	SWR1.6	8/6/14	Roots	58.3131 N 11.5488 E	ZenSite:SW	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380254	250	SAMN06566788	SRX2675482	SWR1.20	SW	3/27/17	0	0	3/27/17	SRR5380254	SRS2073826	SWR1.20	8/6/14	Roots	58.3131 N 11.5488 E	ZenSite:SW	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380255	250	SAMN06566786	SRX2675483	SWR1.1	SW	3/27/17	0	0	3/27/17	SRR5380255	SRS2073825	SWR1.1	8/6/14	Roots	58.3131 N 11.5488 E	ZenSite:SW	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380256	250	SAMN06566796	SRX2675484	SWL2.6	SW	3/27/17	0	0	3/27/17	SRR5380256	SRS2073828	SWL2.6	8/7/14	Leaf	58.2488 N 11.4536 E	ZenSite:SW	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380257	250	SAMN06566797	SRX2675485	SWL2.20	SW	3/27/17	0	0	3/27/17	SRR5380257	SRS2073827	SWL2.20	8/7/14	Leaf	58.2488 N 11.4536 E	ZenSite:SW	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380258	250	SAMN06566795	SRX2675486	SWL2.1	SW	3/27/17	0	0	3/27/17	SRR5380258	SRS2073829	SWL2.1	8/7/14	Leaf	58.2488 N 11.4536 E	ZenSite:SW	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5382534	250	SAMN06566612	SRX2677673	UKE1.6	UK	3/28/17	9	5	3/28/17	SRR5382534	SRS2073805	UKE1.6	2014-07-13T09:05:00	Epiphyte	55.942292 N 4.565192 W	ZenSite:UK	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5382535	250	SAMN06566611	SRX2677674	UKE1.1	UK	3/28/17	134	75	3/28/17	SRR5382535	SRS2073807	UKE1.1	2014-07-13T09:05:00	Epiphyte	55.942292 N 4.565192 W	ZenSite:UK	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5382536	250	SAMN06566806	SRX2677675	SWW2.20	SW	3/28/17	1	0	3/28/17	SRR5382536	SRS2073810	SWW2.20	8/7/14	Water	58.2488 N 11.4536 E	ZenSite:SW	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5382537	250	SAMN06566799	SRX2677676	SWR2.6	SW	3/28/17	0	0	3/28/17	SRR5382537	SRS2073821	SWR2.6	8/7/14	Roots	58.2488 N 11.4536 E	ZenSite:SW	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380259	250	SAMN06566785	SRX2675487	SWL1.6	SW	3/27/17	0	0	3/27/17	SRR5380259	SRS2073830	SWL1.6	8/6/14	Leaf	58.3131 N 11.5488 E	ZenSite:SW	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380260	250	SAMN06566784	SRX2675488	SWL1.1	SW	3/27/17	0	0	3/27/17	SRR5380260	SRS2073831	SWL1.1	8/6/14	Leaf	58.3131 N 11.5488 E	ZenSite:SW	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380261	250	SAMN06566759	SRX2675489	SFW2.6	SF	3/27/17	0	0	3/27/17	SRR5380261	SRS2073832	SFW2.6	2014-07-12T05:00:00	Water	37.978118 N 122.405941 W	ZenSite:SF	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380262	250	SAMN06566760	SRX2675490	SFW2.20	SF	3/27/17	0	0	3/27/17	SRR5380262	SRS2073833	SFW2.20	2014-07-12T05:00:00	Water	37.978118 N 122.405941 W	ZenSite:SF	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380263	250	SAMN06566758	SRX2675491	SFW2.1	SF	3/27/17	0	0	3/27/17	SRR5380263	SRS2073835	SFW2.1	2014-07-12T05:00:00	Water	37.978118 N 122.405941 W	ZenSite:SF	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380264	250	SAMN06566747	SRX2675492	SFW1.6	SF	3/27/17	0	0	3/27/17	SRR5380264	SRS2073834	SFW1.6	2014-07-10T04:00:00	Water	37.946557 N 122.418499 W	ZenSite:SF	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380265	250	SAMN06566748	SRX2675493	SFW1.20	SF	3/27/17	0	0	3/27/17	SRR5380265	SRS2073837	SFW1.20	2014-07-10T04:00:00	Water	37.946557 N 122.418499 W	ZenSite:SF	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380266	250	SAMN06566746	SRX2675494	SFW1.1	SF	3/27/17	0	0	3/27/17	SRR5380266	SRS2073836	SFW1.1	2014-07-10T04:00:00	Water	37.946557 N 122.418499 W	ZenSite:SF	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380267	250	SAMN06566756	SRX2675495	SFS2.6	SF	3/27/17	0	0	3/27/17	SRR5380267	SRS2073838	SFS2.6	2014-07-12T05:00:00	Sediment	37.978118 N 122.405941 W	ZenSite:SF	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380268	250	SAMN06566757	SRX2675496	SFS2.20	SF	3/27/17	0	0	3/27/17	SRR5380268	SRS2073839	SFS2.20	2014-07-12T05:00:00	Sediment	37.978118 N 122.405941 W	ZenSite:SF	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380269	250	SAMN06566755	SRX2675497	SFS2.1	SF	3/27/17	0	0	3/27/17	SRR5380269	SRS2073840	SFS2.1	2014-07-12T05:00:00	Sediment	37.978118 N 122.405941 W	ZenSite:SF	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380270	250	SAMN06566744	SRX2675498	SFS1.6	SF	3/27/17	0	0	3/27/17	SRR5380270	SRS2073841	SFS1.6	2014-07-10T04:00:00	Sediment	37.946557 N 122.418499 W	ZenSite:SF	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380271	250	SAMN06566745	SRX2675499	SFS1.20	SF	3/27/17	0	0	3/27/17	SRR5380271	SRS2073842	SFS1.20	2014-07-10T04:00:00	Sediment	37.946557 N 122.418499 W	ZenSite:SF	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380272	250	SAMN06566743	SRX2675500	SFS1.1	SF	3/27/17	0	0	3/27/17	SRR5380272	SRS2073843	SFS1.1	2014-07-10T04:00:00	Sediment	37.946557 N 122.418499 W	ZenSite:SF	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380273	250	SAMN06566753	SRX2675501	SFR2.6	SF	3/27/17	0	0	3/27/17	SRR5380273	SRS2073844	SFR2.6	2014-07-12T05:00:00	Roots	37.978118 N 122.405941 W	ZenSite:SF	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380274	250	SAMN06566754	SRX2675502	SFR2.20	SF	3/27/17	0	0	3/27/17	SRR5380274	SRS2073845	SFR2.20	2014-07-12T05:00:00	Roots	37.978118 N 122.405941 W	ZenSite:SF	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380275	250	SAMN06566752	SRX2675503	SFR2.1	SF	3/27/17	0	0	3/27/17	SRR5380275	SRS2073846	SFR2.1	2014-07-12T05:00:00	Roots	37.978118 N 122.405941 W	ZenSite:SF	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
